DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,AT,2022,49400,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,BE,2022,47430,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,BG,2022,13270,b
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,CH,2022,88570,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,CY,2022,30430,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,CZ,2022,25850,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,DE,2022,46260,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,DK,2022,64450,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,EE,2022,27040,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,EL,2022,19550,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,ES,2022,28280,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,FI,2022,48340,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,FR,2022,38550,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,HR,2022,17400,e
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,HU,2022,17440,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,IE,2022,98990,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,IS,2022,69870,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,IT,2022,33020,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,LT,2022,23800,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,LU,2022,118710,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,LV,2022,20610,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,ME,2022,9600,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,MT,2022,32880,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,NL,2022,54150,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,NO,2022,101050,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,PL,2022,17300,b
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,PT,2022,23530,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,RO,2022,15010,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,RS,2022,9070,p
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,SE,2022,53690,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,SI,2022,27040,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,SK,2022,19980,
ESTAT:TEC00001(1.0),05/12/23 23:00:00,A,B1GQ,CP_EUR_HAB,TR,2022,10150,
