DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,AL,2022-12,122.89,d
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,AT,2022-12,125.96,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,BE,2022-12,127.77,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,BG,2022-12,129.69,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,CH,2022-12,104.30,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,CY,2022-12,111.93,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,CZ,2022-12,137.1,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,DE,2022-12,122.0,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,DK,2022-12,116.5,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,EE,2022-12,144.30,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,EEA,2022-12,123.76,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,EL,2022-12,112.81,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,ES,2022-12,117.22,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,FI,2022-12,117.06,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,FR,2022-12,116.70,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,HR,2022-12,122.03,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,HU,2022-12,153.14,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,IE,2022-12,115.2,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,IS,2022-12,115.78,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,IT,2022-12,121.1,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,LT,2022-12,146.82,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,LU,2022-12,119.09,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,LV,2022-12,140.57,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,ME,2022-12,127.16,d
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,MK,2022-12,133.21,d
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,MT,2022-12,114.08,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,NL,2022-12,126.64,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,NO,2022-12,128.1,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,PL,2022-12,136.8,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,PT,2022-12,116.36,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,RO,2022-12,135.55,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,RS,2022-12,136.9,d
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,SE,2022-12,126.04,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,SI,2022-12,121.64,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,SK,2022-12,131.31,
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,TR,2022-12,432.46,d
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,US,2022-12,123.13,d
ESTAT:PRC_HICP_MIDX(1.0),30/11/23 11:00:00,M,I15,CP00,XK,2022-12,126.87,d
